Country,Country_Code,Category,Indicator_Code,Year,Enrollment
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2013,36.5778007507324
United Arab Emirates,ARE,Total,SE.TER.ENRR,2013,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2013,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2013,
Bahrain,BHR,Total,SE.TER.ENRR,2014,44.7866602427761
Bahrain,BHR,Female,SE.TER.ENRR.FE,2014,60.227422631454
Bahrain,BHR,Male,SE.TER.ENRR.MA,2014,32.3862191711162
Kuwait,KWT,Total,SE.TER.ENRR,2014,55.893130577116
Kuwait,KWT,Female,SE.TER.ENRR.FE,2014,73.2873775520301
Kuwait,KWT,Male,SE.TER.ENRR.MA,2014,39.8199790720592
Oman,OMN,Total,SE.TER.ENRR,2014,41.1818561581842
Oman,OMN,Female,SE.TER.ENRR.FE,2014,52.0412424359763
Oman,OMN,Male,SE.TER.ENRR.MA,2014,31.9869367602908
Qatar,QAT,Total,SE.TER.ENRR,2014,17.3063613126932
Qatar,QAT,Female,SE.TER.ENRR.FE,2014,51.5663185958676
Qatar,QAT,Male,SE.TER.ENRR.MA,2014,7.87261191029697
Saudi Arabia,SAU,Total,SE.TER.ENRR,2014,53.1803840195563
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2014,62.4789009094238
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2014,43.7586212158203
United Arab Emirates,ARE,Total,SE.TER.ENRR,2014,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2014,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2014,
Bahrain,BHR,Total,SE.TER.ENRR,2015,45.6439860607554
Bahrain,BHR,Female,SE.TER.ENRR.FE,2015,60.9513041649138
Bahrain,BHR,Male,SE.TER.ENRR.MA,2015,33.3086132005509
Kuwait,KWT,Total,SE.TER.ENRR,2015,58.9434554973822
Kuwait,KWT,Female,SE.TER.ENRR.FE,2015,80.4249421600295
Kuwait,KWT,Male,SE.TER.ENRR.MA,2015,40.0131981995292
Oman,OMN,Total,SE.TER.ENRR,2015,45.1898945959512
Oman,OMN,Female,SE.TER.ENRR.FE,2015,57.8076444388781
Oman,OMN,Male,SE.TER.ENRR.MA,2015,34.6656568690179
Qatar,QAT,Total,SE.TER.ENRR,2015,15.9339905308662
Qatar,QAT,Female,SE.TER.ENRR.FE,2015,49.8616836623997
Qatar,QAT,Male,SE.TER.ENRR.MA,2015,6.86969249050807
Saudi Arabia,SAU,Total,SE.TER.ENRR,2015,57.0892771397236
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2015,67.4396901306541
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2015,49.7399559212666
United Arab Emirates,ARE,Total,SE.TER.ENRR,2015,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2015,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2015,
Bahrain,BHR,Total,SE.TER.ENRR,2016,46.7631772606016
Bahrain,BHR,Female,SE.TER.ENRR.FE,2016,63.0497231797764
Bahrain,BHR,Male,SE.TER.ENRR.MA,2016,33.9510230914619
Kuwait,KWT,Total,SE.TER.ENRR,2016,59.2213394214596
Kuwait,KWT,Female,SE.TER.ENRR.FE,2016,83.8888888888889
Kuwait,KWT,Male,SE.TER.ENRR.MA,2016,38.1274538282063
Oman,OMN,Total,SE.TER.ENRR,2016,46.8235059845958
Oman,OMN,Female,SE.TER.ENRR.FE,2016,62.3419173582992
Oman,OMN,Male,SE.TER.ENRR.MA,2016,34.5448060178727
Qatar,QAT,Total,SE.TER.ENRR,2016,14.8163562584538
